account_id	issuer_id	display_name	account_type	lifecycle_status	mapping_status	yield_structure	flat_rate_pct	promotional_rate_pct	promotional_rate_end_date	rate_type	max_balance_earning_stated_rate_mxn	monthly_fee_mxn	min_balance_mxn	min_opening_deposit_mxn	liquidity	term_days	insurance_scheme	insurance_coverage_udis	notes	conf_identity	conf_cost	conf_yield
hey_banco__pagare_hey_inversion	hey_banco	Pagaré Hey (Inversión)	investment_term	active	mapped	tiered	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNCAPPED	0	1000	1000	term_locked	28	IPAB	400000	7% (7d) to 7.5% (28d) as Hey Pro; base without Pro lower	high	medium	low
bbva_mexico__meta_ahorro_bbva	bbva_mexico	Meta Ahorro BBVA	savings	active	mapped	flat	2.7	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNKNOWN	0	0	0	term_locked	UNKNOWN	IPAB	400000	Debit Cuenta Digital pays 0%; interest only in Meta Ahorro	high	medium	medium
banorte__cuenta_suma_menores	banorte	Cuenta Suma Menores	savings	active	mapped	flat	0.4	NOT_APPLICABLE	NOT_APPLICABLE	GAT_nominal	UNKNOWN	0	500	500	instant	NOT_APPLICABLE	IPAB	400000	Bank debit accounts pay ~0%	high	medium	low
banorte__pagare_altos_rendimientos_banorte	banorte	Pagaré Altos Rendimientos Banorte	investment_term	active	mapped	flat	6.54	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNKNOWN	0	1000000	1000000	term_locked	28	IPAB	400000	Requires $1M; standard Pagaré ~4.57%	high	medium	low
hsbc_mexico__ahorro_flexible_hsbc	hsbc_mexico	Ahorro Flexible HSBC	savings	active	mapped	flat	1.0	NOT_APPLICABLE	NOT_APPLICABLE	GAT_nominal	UNKNOWN	0	1	1	instant	NOT_APPLICABLE	IPAB	400000	Rate varies by amount; ~1% GAT nominal	high	low	low
scotiabank_mexico__scotia_inversion_disponible	scotiabank_mexico	Scotia Inversión Disponible	investment_term	active	mapped	tiered	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	GAT_nominal	UNKNOWN	0	10000	10000	same_day	NOT_APPLICABLE	IPAB	400000	Scotia debit accounts pay 0%	high	medium	low
banco_inbursa__cuenta_inbursa_ct_max	banco_inbursa	Cuenta Inbursa CT Max	savings	active	mapped	flat	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNKNOWN	UNKNOWN	100000	100000	instant	NOT_APPLICABLE	IPAB	400000	Rate = ponderado de CETES; see tasasmensuales page	high	medium	medium
banco_inbursa__cuenta_inbursa_ct_60	banco_inbursa	Cuenta Inbursa CT 60	savings	active	mapped	flat	UNKNOWN	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNCAPPED	UNKNOWN	1	1	instant	NOT_APPLICABLE	IPAB	400000	Pays 100% of Cetes 28d rate from $1	high	medium	medium
fondeadora__boveda_fondeadora_apartado_30_dias	fondeadora	Bóveda Fondeadora (apartado 30 días)	savings	active	mapped	flat	9.0	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNCAPPED	0	0	0	instant	30	none	NOT_APPLICABLE	9% on 30-day apartado, continues after	high	medium	medium
banco_azteca__cuenta_de_ahorro_guardadito	banco_azteca	Cuenta de Ahorro Guardadito	debit	active	mapped	flat	0.01	NOT_APPLICABLE	NOT_APPLICABLE	rendimiento_anual_nominal	UNCAPPED	0	0	1	instant	NOT_APPLICABLE	IPAB	400000	No fees, no min; effectively 0% yield	high	medium	medium
spin_oxxo__cuenta_spin	spin_oxxo	Cuenta Spin	debit	active	mapped	none	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0	0	0	instant	NOT_APPLICABLE	none	NOT_APPLICABLE	IFPE; NO deposit insurance; loyalty via Spin Premia	high	medium	medium
cuenca__cuenta_cuenca	cuenca	Cuenta Cuenca	debit	active	mapped	none	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	50	0	0	instant	NOT_APPLICABLE	none	NOT_APPLICABLE	IFPE; $50/mo manejo; 15 free transfers; no rendimiento	high	medium	medium
bbva_mexico__libreton_cuenta_digital_bbva	bbva_mexico	Libretón / Cuenta Digital BBVA	debit	active	mapped	none	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	0	0	0	instant	NOT_APPLICABLE	IPAB	400000	Debit pays 0%; interest via Meta Ahorro	high	medium	medium
